127.0.0.1 - - [23/Dec/2022:17:37:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_latest2_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_latest1_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_sub2_cs_txt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_sub2_cs_bt1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_latest3_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_sub2_cs_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_latest3_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_sub2_cs_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_sub2_cs_bt3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_sub2_account_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_sub2_cs_bt2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_top_line.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/footer_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_menu_line.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_menu1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_menu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_menu3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_banner_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_banner_sub2_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_menu5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_banner_sub1_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_menu4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:05 +0900] "GET /Farmstory2/img/head_menu5_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:09 +0900] "GET /Farmstory2/img/head_menu3_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:09 +0900] "GET /Farmstory2/img/head_menu2_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:09 +0900] "GET /Farmstory2/img/head_menu1_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:10 +0900] "GET /Farmstory2/hello.do HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:12 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:12 +0900] "GET /Farmstory2/user/login.do HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:12 +0900] "GET /Farmstory2/img/login_ico_id.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:12 +0900] "GET /Farmstory2/img/login_ico_pw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:13 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:13 +0900] "GET /Farmstory2/user/login.do HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:14 +0900] "GET /Farmstory2/img/head_menu4_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:14 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:14 +0900] "GET /Farmstory2/user/login.do HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:15 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:15 +0900] "GET /Farmstory2/user/login.do HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:15 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:15 +0900] "GET /Farmstory2/user/login.do HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:16 +0900] "GET /Farmstory2/index.do HTTP/1.1" 200 12278
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:17 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:17 +0900] "GET /Farmstory2/user/login.do HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:20 +0900] "POST /Farmstory2/user/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:20 +0900] "GET /Farmstory2/index.do HTTP/1.1" 200 12250
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:21 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:21 +0900] "GET /Farmstory2/img/sub_top_tit2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:21 +0900] "GET /Farmstory2/img/sub_aside_cate2_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:21 +0900] "GET /Farmstory2/img/sub_nav_tit_cate2_tit1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:21 +0900] "GET /Farmstory2/img/sub_aside_bg_lnb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:21 +0900] "GET /Farmstory2/img/sub_top_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:21 +0900] "GET /Farmstory2/img/sub_cate2_lnb1_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:21 +0900] "GET /Farmstory2/img/sub_aside_bg_line.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:27 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:27 +0900] "GET /Farmstory2/img/sub_aside_cate3_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:27 +0900] "GET /Farmstory2/img/sub_top_tit3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:27 +0900] "GET /Farmstory2/img/sub_nav_tit_cate3_story.png HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:27 +0900] "GET /Farmstory2/img/sub_cate3_lnb1_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:27 +0900] "GET /Farmstory2/img/sub_cate3_lnb3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:27 +0900] "GET /Farmstory2/img/sub_cate3_lnb2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:29 +0900] "GET /Farmstory2/img/sub_cate3_lnb2_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:29 +0900] "GET /Farmstory2/img/sub_cate3_lnb3_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:30 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=grow HTTP/1.1" 200 6381
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:30 +0900] "GET /Farmstory2/img/sub_nav_tit_cate3_grow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:30 +0900] "GET /Farmstory2/img/sub_cate3_lnb1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:30 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=school HTTP/1.1" 200 6415
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:30 +0900] "GET /Farmstory2/img/sub_nav_tit_cate3_school.png HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:31 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=grow HTTP/1.1" 200 6381
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:31 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:38 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:39:39 +0900] "GET /Farmstory2/board/list.do HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:39:41 +0900] "GET /Farmstory2/board/list.do HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:39:47 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:31 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:31 +0900] "GET /Farmstory2/img/sub_top_tit4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:31 +0900] "GET /Farmstory2/img/sub_aside_cate4_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:31 +0900] "GET /Farmstory2/img/sub_nav_tit_cate4_tit1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:31 +0900] "GET /Farmstory2/img/sub_cate4_lnb1_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:32 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/img/sub_aside_cate5_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/img/sub_top_tit5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/img/sub_nav_tit_cate5_notice.png HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/img/sub_cate5_lnb1_ov.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/img/sub_cate5_lnb4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/img/sub_cate5_lnb5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/img/sub_cate5_lnb3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:33 +0900] "GET /Farmstory2/img/sub_cate5_lnb2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:34 +0900] "GET /Farmstory2/img/sub_cate5_lnb2_ov.png HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:34 +0900] "GET /Farmstory2/board/list.do?group=community&cate=menu HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:34 +0900] "GET /Farmstory2/img/sub_nav_tit_cate5_menu.png HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:34 +0900] "GET /Farmstory2/img/sub_cate5_lnb1.png HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:34 +0900] "GET /Farmstory2/img/sub_cate5_lnb3_ov.png HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:34 +0900] "GET /Farmstory2/board/list.do?group=community&cate=chef HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:34 +0900] "GET /Farmstory2/img/sub_nav_tit_cate5_chef.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:35 +0900] "GET /Farmstory2/img/sub_cate5_lnb4_ov.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:35 +0900] "GET /Farmstory2/board/list.do?group=community&cate=faq HTTP/1.1" 200 6171
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:35 +0900] "GET /Farmstory2/img/sub_nav_tit_cate5_faq.png HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:36 +0900] "GET /Farmstory2/img/sub_cate5_lnb5_ov.png HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:36 +0900] "GET /Farmstory2/board/list.do?group=community&cate=qna HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:36 +0900] "GET /Farmstory2/img/sub_nav_tit_cate5_qna.png HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:40:37 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:14 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:15 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:16 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:16 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:16 +0900] "GET /Farmstory2/index.do HTTP/1.1" 200 12250
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:18 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:19 +0900] "GET /Farmstory2/index.do HTTP/1.1" 200 12250
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:20 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:20 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:21 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:21 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:22 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:22 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:22 +0900] "GET /Farmstory2/hello.do HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:25 +0900] "GET /Farmstory2/hello.do HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:29 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:29 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:30 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:30 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:36 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:37 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:43 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:43 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:44 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:44 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:46 +0900] "GET /Farmstory2/index.do HTTP/1.1" 200 12250
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:48 +0900] "GET /Farmstory2/index.do HTTP/1.1" 200 12250
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:49 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:50 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:50 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:51 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:51 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:53 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:53 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:54 +0900] "GET /Farmstory2/board/list.do?group=event&cate=event HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:41:54 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:42:00 +0900] "GET /Farmstory2/board/list.do?group=community&cate=menu HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:42:00 +0900] "GET /Farmstory2/board/list.do?group=community&cate=chef HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:42:01 +0900] "GET /Farmstory2/board/list.do?group=community&cate=qna HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:42:02 +0900] "GET /Farmstory2/board/list.do?group=community&cate=faq HTTP/1.1" 200 6171
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:42:02 +0900] "GET /Farmstory2/board/list.do?group=community&cate=chef HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:42:03 +0900] "GET /Farmstory2/board/list.do?group=community&cate=chef HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:42:04 +0900] "GET /Farmstory2/board/list.do?group=community&cate=menu HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:42:05 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:44:59 +0900] "GET /Farmstory2/board/list.do?group=community&cate=qna HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:16 +0900] "GET /Farmstory2/board/list.do?search=%EB%AC%B8%EC%9D%98 HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:29 +0900] "GET /Farmstory2/board/list.do?search=awg HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:35 +0900] "GET /Farmstory2/board/list.do?group=community&cate=faq HTTP/1.1" 200 6171
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:36 +0900] "GET /Farmstory2/board/list.do?group=community&cate=chef HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:36 +0900] "GET /Farmstory2/board/list.do?group=community&cate=menu HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:37 +0900] "GET /Farmstory2/board/list.do?group=community&cate=notice HTTP/1.1" 200 6152
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:40 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=story HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:42 +0900] "GET /Farmstory2/board/list.do?group=croptalk&cate=grow HTTP/1.1" 200 6381
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:43 +0900] "GET /Farmstory2/hello.do HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:45 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 200 6010
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:47 +0900] "GET /Farmstory2/board/write.do?group=market&cate=market HTTP/1.1" 200 5052
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:53 +0900] "POST /Farmstory2/board/write.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:53 +0900] "GET /Farmstory2/board/list.do?group=market&cate=market HTTP/1.1" 200 6283
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:45:57 +0900] "GET /Farmstory2/board/view.do?group=market&cate=market&no=394&pg=1 HTTP/1.1" 200 9113
